English,Spanish
GO,Ir
GRADE,Graduar - Calificar - Clasificar
GRATE,Rallar - Raspar
GRILL,Asar (En Parrilla)
GRIND,Moler - Triturar
GROW,Crecer - Brotar
HAND IN,Entregar-Presentar
HAND OUT,Dar-Distribuir
HANG,Colgar - Suspender
HATE,Odiar - Aborrecer - Detestar
HAVE,Haber - Tener
HEAR,Oir
HELP,Ayudar - Socorrer
HIDE,Ocultar - Esconder
HIT,Golpear - Pegar
HOLD,Sostener - Retener
HURT,Herir - Lastimar
IDENTIFY,Identificar
IMAGINE,Imaginar
IMITATE,Imitar
INCLUDE,Incluir
INSPECT,Inspeccionar
INVITE,Invitar
JOG,Trotar
JUMP,Saltar - Brincar
KEEP,Guardar - Mantener
KICK,Patear - Dar Punta Piés
KILL,Matar - Acabar con
KISS,Besar
KNOW,Saber - Conocer
LAND,Aterrizar - Desembarcar
LAUGH,Reir(Se)
LEAD,Conducir - Liderar
LEND,Prestar
LET,Dejar - Permitir
LICK,Lamer - Adular
LIE,Mentir
LIGHT,Encender - Prender
LIKE,Gustar - Querer
LISTEN TO,Escuchar
LIVE,Vivir
LOOK,Mirar
LOSE,Perder
LOVE,Amar - Adorar - Encantar
LOWER,Bajar - Reducir - Disminuir
MAKE,Hacer - Fabricar
MANAGE,Manejar - Dirigir - Arreglárselas
MEAN,Significar - Querer Decir
MEET,Conocer - Encontrar
MEMORIZE,Memorizar
MEND,Remendar - Reparar
MIND,Agregar - Importar - Preocuparse
MISLAY,Extraviar - Perder
MISS,Echar De Menos - Perder
MISTAKE,Errar - Equivocarse
MIX,Mezclar - Barajar
MOP,Trapear - Fregar
MOVE,Mover - Trastear
MULTIPLY,Multiplicar
NAME,Nombrar - Denominar
NOTICE,Notar - Advertir
OCCUR,Ocurrir - Suceder
OFFER,Ofrecer
OMIT,Omitir
ORDER,Ordenar - Disponer
OVERCOME,Vencer - Superar - Triunfar
PACK,Empacar - Envasar
PAINT,Pintar
PARK,Parquear - Estacionar
PAY,Pagar
PERMIT,Permitir
PERSUADE,Persuadir - Convencer
PICK UP,Recoger
PLACE,Poner - Colocar - Situar
PLANT,Plantar - Sembrar
PLAY,Jugar - Tocar - Reproducir
POLISH,Pulir
PRACTICE,Practicar
PRINT,Imprimir
PROMISE,Prometer
PRONOUNCE,Pronunciar
PULL,Halar - Tirar De
PUNISH,Castigar
PUSH,Empujar
PUT,Poner - Colocar
QUIT,Omitir - Rendirse
REACH,Llegar - Alcanzar
READ,Leer
RECEIVE,Recibir
RELAX,Relajar - Mitigar
REMAIN,Permanecer - Quedarse
REPAIR,Reparar - Arreglar
REPEAT,Repetir
REPRESENT,Representar
REST,Descansar - Reposar
RID,Librarse de - Deshacerse
RIDE,Cabalgar - Montar
RING,Sonar - Timbrar
RISE,Subir - Ascender
RUN,Correr
SAY,Decir
SCRUB,Fregar - Restregar
SEASON,Sazonar - Aliñar
SEE,Ver
SEEK,Buscar - Solicitar
SEEM,Parecer
SELECT,Seleccionar
SELL,Vender
SEND,Enviar - Mandar
SET,Establecer - Poner - Fijar
SETTLE,Colonizar - Poblar
SEW,Coser
SHARE,Compartir
SHARPEN,Afilar - Ampliar
SHED,Quitarse - Despojarse
SHINE,Brillar - Alumbrar
SHOOT,Tirar - Disparar
SHOP,Comprar (De Tiendas)
SHOW,Mostrar - Enseñar
SHRINK,Encoger - Contraer
SHUT,Cerrar(Callar)
SIGH,Suspirar - Susurrar
SIGN,Firmar
SIMMER,Cocer A Fuego Lento
SING,Cantar
SINK,Sumergir - Hundir
SIT,Sentarse
SKATE,Patinar
SKI,Esquiar
SLEEP,Dormir
SLICE,Rebanar
SLIDE,Resbalar(Se)
SMELL,Oler - Husmear
SMILE,Sonreir
SMOKE,Fumar
SNEEZE,Estornudar
SOLVE,Resolver
SOUND,Sonar - Tocar
SPEAK,Hablar
SPEED,Acelerar
SPELL,Deletrear
SPEND,Gastar - Pasar El Tiempo
SPILL,Derramar - Regar
SPIN,Hacer Girar (Vueltas)
SPIT,Escupir
SPLASH,Salpicar - Rociar
SPLIT,Agrietar - Hender
SPOIL,Estropear - Echar a perder - Mimar
SPREAD,Extender - Esparcir - Untar
SPRING,Saltar - Brotar
SPRINKLE,Rociar
SQUEEZE,Apretar
STAND,Ponerse De Pie - Pararse
START,Agregar - Comenzar - Empezar - Iniciar
STAY,Permanecer - Quedarse - Durar
STEAL,Robar - Hurtar
STEAM,Cocer A Vapor
STICK,Pegar(se) - Adherir(se)
STING,Picar - Golpear
STINK,Apestar - Oler Mal
STIR,Agregar - Revolver
STOP,Parar - Detener
STRIKE,Golpear - Pegar
STRING,Atar(Cordones)
STRIVE,Esforzarse
STUDY,Estudiar
STUFF,Rellenar
SUBSTRACT,Sustraer - Restar
SUCK,Chupar
SUPPOSE,Suponer
SURROUND,Rodear
SWEAR,Jurar
SWIM,Nadar
SWING,Balancearse - Girar - Columpiarse
TAKE,Tomar - Agarrar - Coger
TALK,Hablar - Conversar
TASTE,Saborear - Catar - Probar
TEACH,Enseñar
TEAR,Rasgar - Desgarrar - Arrancar
TELL,Decir - Contar
THINK,Pensar - Creer
THROW,Lanzar - Arrojar
THRUST,Clavar - Empujar
TOUCH,Tocar - Rozar
TRAVEL,Viajar - Andar - Recorrer
TRUST,Confiar - Creer
TURN,Girar - Dar Vueltas - Dar La Vuelta
TYPE,Mecanografiar - Digitar
UNDERLINE,Subrayar
UNDERSTAND,Entender - Comprender
UNDERTAKE,Encargarse - Emprender
UPSET,Volcar - Trasntornar
USE,Usar
VACUUM,Aspirar
VANISH,Desvanecer(se) - Desaparecer
WAIT,Esperar
WALK,Caminar - Andar - Pasear - Andar
WARM,Calentar(Se) - Recalentar
WASH,Lavar - Fregar - Mojar
WATCH,Mirar - Velar - Vigilar
WAVE,Agitar - Ondear
WEAR,Usar - Llevar Puesto
WEAVE,Tejer
WED,Casar(se) - Unirse con
WEEP,Lamentarse - Llorar
WEIGH,Pesar
WHISTLE,Silbar
WIND,Dejar Sin Aliento
WISH,Desear
WITHDRAW,Quitar - Apartar - Retirar
WONDER,Maravillarse - Asombrarse - Preguntarse
WORK,Trabajar - Funcionar
WORRY,Preocupar
WRAP,Empacar - Envolver
WRING,Escurrir - Retorcer
WRITE,Escribir - Redactar
YAWN,Bostezar
